bioguide_id,full_name,aipac_direct_amount_2022,aipac_earmark_amount_2022,aipac_ie_support_2022,aipac_ie_against_opp_2022,aipac_ie_total_2022,aipac_total_2022,dmfi_direct_2022,dmfi_earmark_2022,dmfi_ie_support_2022,dmfi_ie_against_opp_2022,dmfi_ie_total_2022,dmfi_total_2022,aipac_supported_2022,dmfi_supported_2022
D000631,"Dean, Madeleine",0.0,500.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
D000634,"Downing, Troy",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
D000635,"Dexter, Maxine",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
E000071,"Ellzey, Jake",5000.0,0.0,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
E000235,"Ezell, Mike",5000.0,0.0,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
E000246,"Edwards, Chuck",10000.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
E000294,"Emmer, Tom",10000.0,7750.0,0.0,0.0,0.0,17750.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
E000295,"Ernst, Joni",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
E000296,"Evans, Dwight",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
E000297,"Espaillat, Adriano",4200.0,21000.0,0.0,0.0,0.0,25200.0,2000.0,0.0,0.0,0.0,0.0,2000.0,1,1
E000298,"Estes, Ron",10000.0,250.0,0.0,0.0,0.0,10250.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
E000299,"Escobar, Veronica",0.0,8700.0,0.0,0.0,0.0,8700.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
E000300,"Evans, Gabe",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
E000301,"Elfreth, Sarah",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
F000110,"Fields, Cleo",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
F000246,"Fallon, Pat",5000.0,7625.0,0.0,0.0,0.0,12625.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
F000446,"Feenstra, Randy",7900.0,0.0,0.0,0.0,0.0,7900.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
F000450,"Foxx, Virginia",7900.0,0.0,0.0,0.0,0.0,7900.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
F000454,"Foster, Bill",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
F000459,"Fleischmann, Charles J. ""Chuck""",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
F000462,"Frankel, Lois",10000.0,44860.0,0.0,0.0,0.0,54860.0,2000.0,0.0,0.0,0.0,0.0,2000.0,1,1
F000463,"Fischer, Deb",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
F000466,"Fitzpatrick, Brian K.",2100.0,0.0,0.0,0.0,0.0,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
F000468,"Fletcher, Lizzie",5000.0,0.0,0.0,0.0,0.0,5000.0,2000.0,0.0,0.0,0.0,0.0,2000.0,1,1
F000469,"Fulcher, Russ",7900.0,0.0,0.0,0.0,0.0,7900.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
F000470,"Fischbach, Michelle",10000.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
F000471,"Fitzgerald, Scott",10000.0,2250.0,0.0,0.0,0.0,12250.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
F000472,"Franklin, Scott",10000.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
F000474,"Flood, Mike",10000.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
F000475,"Finstad, Brad",5000.0,0.0,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
F000476,"Frost, Maxwell",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
F000477,"Foushee, Valerie P.",7900.0,411555.0,2128196.18,0.0,2128196.18,2547651.18,2000.0,0.0,290131.0,0.0,290131.0,292131.0,1,1
F000478,"Fry, Russell",5000.0,5800.0,0.0,0.0,0.0,10800.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
F000479,"Fetterman, John",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,264081.0,264081.0,264081.0,0,1
F000480,"Fong, Vince",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
F000481,"Figures, Shomari",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
F000482,"Fedorchak, Julie",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
F000483,"Friedman, Laura",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
F000484,"Fine, Randy",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
G000359,"Graham, Lindsey",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
G000386,"Grassley, Chuck",7900.0,0.0,0.0,0.0,0.0,7900.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
G000546,"Graves, Sam",10000.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
G000553,"Green, Al",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
G000555,"Gillibrand, Kirsten E.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
G000558,"Guthrie, Brett",5000.0,0.0,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
G000559,"Garamendi, John",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
G000565,"Gosar, Paul A.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
G000568,"Griffith, H. Morgan",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
G000574,"Gallego, Ruben",7900.0,18800.0,0.0,0.0,0.0,26700.0,2000.0,0.0,0.0,0.0,0.0,2000.0,1,1
G000576,"Grothman, Glenn",10000.0,8500.0,0.0,0.0,0.0,18500.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
G000581,"Gonzalez, Vicente",10000.0,55514.0,0.0,0.0,0.0,65514.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
G000583,"Gottheimer, Josh",7900.0,208710.0,0.0,0.0,0.0,216610.0,2000.0,0.0,0.0,0.0,0.0,2000.0,1,1
G000585,"Gomez, Jimmy",7900.0,0.0,0.0,0.0,0.0,7900.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
G000586,"García, Jesús G. ""Chuy""",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
G000587,"Garcia, Sylvia R.",5000.0,17160.0,0.0,0.0,0.0,22160.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
G000589,"Gooden, Lance",5000.0,1500.0,0.0,0.0,0.0,6500.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
G000591,"Guest, Michael",7900.0,16300.0,0.0,0.0,0.0,24200.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
G000592,"Golden, Jared F.",7900.0,23630.0,0.0,0.0,0.0,31530.0,3000.0,0.0,0.0,0.0,0.0,3000.0,1,1
G000593,"Gimenez, Carlos A.",10000.0,3850.0,0.0,0.0,0.0,13850.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
G000594,"Gonzales, Tony",2100.0,0.0,0.0,0.0,0.0,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
G000596,"Greene, Marjorie Taylor",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
